Date	b_dx	b_dxerr	b_dy	b_dyerr	c_dx	c_dxerr	c_dy	c_dyerr	d_dx	d_dxerr	d_dy	d_dyerr	e_dx	e_dxerr	e_dy	e_dyerr	
2004Jul14	-1.471         0.006	0.884         0.006	0.739         0.006	0.612         0.006	n/a	n/a	n/a	n/a	
2007Aug02	-1.504         0.003	0.837         0.003	0.683         0.004	0.671         0.004	0.179         0.005	-0.588         0.005		n/a	n/a	n/a	n/a	
2007Oct25	-1.500         0.007	0.836         0.007	0.678         0.007	0.676         0.007	0.175         0.010	-0.589         0.010		n/a	n/a	n/a	n/a	
2008Sep18	-1.516         0.004	0.818         0.004	0.663         0.003	0.693         0.003	0.202         0.004	-0.588         0.004		n/a	n/a	n/a	n/a	
2009Jul30	-1.526         0.004	0.797         0.004	0.639         0.004	0.712         0.004	0.237         0.003	-0.577         0.003		0.306         0.007	-0.211         0.007	
2009Aug01	-1.531         0.007	0.794         0.007	0.635         0.009	0.722         0.009	0.250         0.007	-0.570         0.007		0.318         0.010	-0.195         0.010	
2009Nov01	-1.524         0.010	0.795         0.010	0.636         0.009	0.720         0.009	0.251         0.007	-0.573         0.007		0.310         0.009	-0.187         0.009	
2010Jul13	-1.532         0.005	0.783         0.005	0.619         0.004	0.728         0.004	0.265         0.004	-0.576         0.004		0.323         0.006	-0.166         0.006	
2010Oct30	-1.535         0.015	0.766         0.015	0.607         0.012	0.744         0.012	0.296         0.013	-0.561         0.013		0.341         0.016	-0.143         0.016	
2011Jul21	-1.541         0.005	0.762         0.005	0.595         0.004	0.747         0.004	0.303         0.005	-0.562         0.005		0.352         0.008	-0.130         0.008	
2012Jul22	-1.545         0.005	0.747         0.005	0.578         0.005	0.761         0.005	0.339         0.005	-0.555         0.005		0.373         0.008	-0.084         0.008	
2012Oct26	-1.549         0.004	0.743         0.004	0.572         0.003	0.768         0.003	0.346         0.004	-0.548         0.004		0.370         0.009	-0.076         0.009	
2013Oct16	-1.545         0.022	0.724         0.022	0.542         0.022	0.784         0.022	0.382         0.016	-0.522         0.016		0.373         0.013	-0.017         0.013	
2014Jul17	-1.560         0.013	0.725         0.013	0.540         0.013	0.799         0.013	0.400         0.011	-0.534         0.011		0.387         0.011	0.003         0.011
